Case ID,Activity,Resource,Complete Timestamp,outcome
S67858,Insert Fine Notification,,2001-12-10 00:00:00,
S69121,Payment,,2001-12-10 00:00:00,False
V8214,Payment,,2001-12-10 00:00:00,False
S70412,Send Fine,,2001-12-11 00:00:00,
N36268,Insert Fine Notification,,2001-12-11 00:00:00,
N38480,Send Fine,,2001-12-11 00:00:00,
N38473,Send Fine,,2001-12-11 00:00:00,
V7929,Send Fine,,2001-12-11 00:00:00,
N37106,Send Fine,,2001-12-11 00:00:00,False
N37114,Send Fine,,2001-12-11 00:00:00,
N37643,Send Fine,,2001-12-11 00:00:00,
N38815,Send Fine,,2001-12-11 00:00:00,
N37110,Send Fine,,2001-12-11 00:00:00,
N38714,Send Fine,,2001-12-11 00:00:00,
N38778,Send Fine,,2001-12-11 00:00:00,False
N38357,Send Fine,,2001-12-11 00:00:00,
N38314,Send Fine,,2001-12-11 00:00:00,False
N36669,Send Fine,,2001-12-11 00:00:00,
N36269,Insert Fine Notification,,2001-12-11 00:00:00,
N38365,Send Fine,,2001-12-11 00:00:00,
N34672,Receive Result Appeal from Prefecture,,2001-12-11 00:00:00,
N38776,Send Fine,,2001-12-11 00:00:00,
N38816,Send Fine,,2001-12-11 00:00:00,
N38431,Send Fine,,2001-12-11 00:00:00,
S70253,Send Fine,,2001-12-11 00:00:00,False
S65861,Send Fine,,2001-12-11 00:00:00,
N38257,Send Fine,,2001-12-11 00:00:00,
S68897,Insert Fine Notification,,2001-12-11 00:00:00,
S66732,Insert Fine Notification,,2001-12-11 00:00:00,
N38271,Send Fine,,2001-12-11 00:00:00,
N37594,Send Fine,,2001-12-11 00:00:00,
S68905,Send Fine,,2001-12-11 00:00:00,
N34614,Insert Fine Notification,,2001-12-11 00:00:00,
N37885,Send Fine,,2001-12-11 00:00:00,
N37893,Send Fine,,2001-12-11 00:00:00,
N38706,Send Fine,,2001-12-11 00:00:00,
N37313,Send Fine,,2001-12-11 00:00:00,False
S68867,Payment,,2001-12-11 00:00:00,False
C14194,Send Fine,,2001-12-11 00:00:00,
N38418,Send Fine,,2001-12-11 00:00:00,False
N38327,Send Fine,,2001-12-11 00:00:00,False
C14265,Send Fine,,2001-12-11 00:00:00,
V8182,Insert Fine Notification,,2001-12-11 00:00:00,
N38332,Send Fine,,2001-12-11 00:00:00,
S64952,Send Fine,,2001-12-11 00:00:00,False
C14119,Send Fine,,2001-12-11 00:00:00,
S65983,Send Fine,,2001-12-11 00:00:00,
S69058,Insert Fine Notification,,2001-12-11 00:00:00,
N36377,Insert Fine Notification,,2001-12-11 00:00:00,
N37397,Create Fine,540.0,2001-12-11 00:00:00,
S67520,Insert Fine Notification,,2001-12-11 00:00:00,
N39064,Payment,,2001-12-11 00:00:00,False
C13942,Send Fine,,2001-12-11 00:00:00,
N34386,Send Fine,,2001-12-11 00:00:00,
N37303,Send Fine,,2001-12-11 00:00:00,
N36662,Send Fine,,2001-12-11 00:00:00,
N39481,Create Fine,541.0,2001-12-11 00:00:00,
N37876,Send Fine,,2001-12-11 00:00:00,
N39082,Create Fine,537.0,2001-12-11 00:00:00,
N35725,Send Fine,,2001-12-11 00:00:00,False
N38409,Send Fine,,2001-12-11 00:00:00,
N37070,Send Fine,,2001-12-11 00:00:00,
N37583,Send Fine,,2001-12-11 00:00:00,False
S62358,Create Fine,30.0,2001-12-11 00:00:00,
S62359,Create Fine,30.0,2001-12-11 00:00:00,
N38551,Create Fine,540.0,2001-12-11 00:00:00,
N39486,Create Fine,541.0,2001-12-11 00:00:00,
N39092,Create Fine,537.0,2001-12-11 00:00:00,
S69126,Insert Fine Notification,,2001-12-11 00:00:00,
S66322,Insert Date Appeal to Prefecture,,2001-12-11 00:00:00,
N39084,Create Fine,537.0,2001-12-11 00:00:00,
N38134,Send Fine,,2001-12-11 00:00:00,
S70423,Create Fine,28.0,2001-12-11 00:00:00,
S69292,Send Fine,,2001-12-11 00:00:00,
N38770,Send Fine,,2001-12-11 00:00:00,
N36643,Send Fine,,2001-12-11 00:00:00,
N37351,Send Fine,,2001-12-11 00:00:00,
N38766,Send Fine,,2001-12-11 00:00:00,
N38767,Send Fine,,2001-12-11 00:00:00,False
N37631,Send Fine,,2001-12-11 00:00:00,
N38383,Send Fine,,2001-12-11 00:00:00,
N37331,Send Fine,,2001-12-11 00:00:00,
N38388,Send Fine,,2001-12-11 00:00:00,False
V8645,Send Fine,,2001-12-11 00:00:00,
C14053,Send Fine,,2001-12-11 00:00:00,
S60860,Send Fine,,2001-12-11 00:00:00,False
N38833,Send Fine,,2001-12-11 00:00:00,
N38753,Send Fine,,2001-12-11 00:00:00,
N38425,Send Fine,,2001-12-11 00:00:00,
N38011,Insert Fine Notification,,2001-12-11 00:00:00,
N37230,Send Fine,,2001-12-11 00:00:00,False
N38278,Send Fine,,2001-12-11 00:00:00,
N37102,Send Fine,,2001-12-11 00:00:00,
N38762,Send Fine,,2001-12-11 00:00:00,
S63227,Payment,,2001-12-12 00:00:00,
S69767,Insert Fine Notification,,2001-12-12 00:00:00,
S62359,Payment,,2001-12-12 00:00:00,False
N35792,Insert Fine Notification,,2001-12-12 00:00:00,
N39153,Create Fine,538.0,2001-12-12 00:00:00,
V8394,Insert Fine Notification,,2001-12-12 00:00:00,
V7565,Insert Fine Notification,,2001-12-12 00:00:00,
S68348,Insert Fine Notification,,2001-12-12 00:00:00,
V7787,Payment,,2001-12-12 00:00:00,False
S68656,Insert Fine Notification,,2001-12-12 00:00:00,
S63651,Payment,,2001-12-13 00:00:00,False
S68786,Insert Fine Notification,,2001-12-13 00:00:00,
N35581,Insert Fine Notification,,2001-12-13 00:00:00,
S68120,Create Fine,16.0,2001-12-13 00:00:00,
S67711,Payment,,2001-12-13 00:00:00,False
N36545,Payment,,2001-12-13 00:00:00,False
N39084,Payment,,2001-12-13 00:00:00,False
S60782,Payment,,2001-12-13 00:00:00,False
N39551,Create Fine,550.0,2001-12-14 00:00:00,
S68462,Insert Fine Notification,,2001-12-14 00:00:00,
S66468,Payment,,2001-12-14 00:00:00,
S69210,Insert Fine Notification,,2001-12-14 00:00:00,
N36275,Insert Fine Notification,,2001-12-14 00:00:00,
N39165,Create Fine,538.0,2001-12-14 00:00:00,
S68504,Insert Fine Notification,,2001-12-14 00:00:00,
S67266,Insert Fine Notification,,2001-12-14 00:00:00,
S67979,Insert Fine Notification,,2001-12-14 00:00:00,
S67451,Insert Fine Notification,,2001-12-14 00:00:00,
S67093,Insert Fine Notification,,2001-12-14 00:00:00,
S67035,Insert Fine Notification,,2001-12-14 00:00:00,
N36729,Create Fine,536.0,2001-12-14 00:00:00,
S67426,Insert Fine Notification,,2001-12-14 00:00:00,
S69268,Insert Fine Notification,,2001-12-14 00:00:00,
S67390,Insert Fine Notification,,2001-12-14 00:00:00,
S69358,Insert Fine Notification,,2001-12-14 00:00:00,
S69186,Insert Fine Notification,,2001-12-14 00:00:00,
S69313,Insert Fine Notification,,2001-12-14 00:00:00,
S68595,Insert Fine Notification,,2001-12-14 00:00:00,
S69355,Insert Fine Notification,,2001-12-14 00:00:00,
V7575,Insert Fine Notification,,2001-12-14 00:00:00,
N36044,Insert Fine Notification,,2001-12-14 00:00:00,
S68538,Insert Fine Notification,,2001-12-14 00:00:00,
N35550,Insert Fine Notification,,2001-12-14 00:00:00,
S67103,Insert Fine Notification,,2001-12-14 00:00:00,
S66876,Insert Fine Notification,,2001-12-15 00:00:00,
N35793,Insert Fine Notification,,2001-12-15 00:00:00,
S67557,Insert Fine Notification,,2001-12-15 00:00:00,
S66800,Insert Fine Notification,,2001-12-15 00:00:00,
S69333,Insert Fine Notification,,2001-12-15 00:00:00,
S60817,Insert Fine Notification,,2001-12-15 00:00:00,
N36583,Insert Fine Notification,,2001-12-15 00:00:00,
S70667,Create Fine,11.0,2001-12-15 00:00:00,
N39171,Create Fine,538.0,2001-12-15 00:00:00,
S68561,Insert Fine Notification,,2001-12-15 00:00:00,
S68575,Insert Fine Notification,,2001-12-15 00:00:00,
N39494,Create Fine,541.0,2001-12-15 00:00:00,
S60924,Create Fine,35.0,2001-12-15 00:00:00,
S67456,Insert Fine Notification,,2001-12-15 00:00:00,
S67629,Insert Fine Notification,,2001-12-15 00:00:00,
S69145,Insert Fine Notification,,2001-12-16 00:00:00,
N36519,Insert Fine Notification,,2001-12-16 00:00:00,
N36487,Insert Fine Notification,,2001-12-16 00:00:00,
S66628,Insert Fine Notification,,2001-12-16 00:00:00,
S67503,Insert Fine Notification,,2001-12-16 00:00:00,
S66741,Insert Fine Notification,,2001-12-16 00:00:00,
S67295,Insert Fine Notification,,2001-12-16 00:00:00,
S66537,Insert Fine Notification,,2001-12-16 00:00:00,
S65624,Insert Fine Notification,,2001-12-16 00:00:00,
N35384,Insert Fine Notification,,2001-12-16 00:00:00,
V7754,Insert Fine Notification,,2001-12-16 00:00:00,
N35599,Insert Fine Notification,,2001-12-17 00:00:00,
S66898,Insert Fine Notification,,2001-12-17 00:00:00,
S68614,Insert Fine Notification,,2001-12-17 00:00:00,
V7413,Insert Fine Notification,,2001-12-17 00:00:00,
N38565,Create Fine,540.0,2001-12-17 00:00:00,
N38567,Create Fine,540.0,2001-12-17 00:00:00,
S70670,Create Fine,11.0,2001-12-17 00:00:00,
S66806,Payment,,2001-12-17 00:00:00,False
N36735,Create Fine,536.0,2001-12-17 00:00:00,
V7949,Insert Fine Notification,,2001-12-17 00:00:00,
N19981,Insert Fine Notification,,2001-12-17 00:00:00,
S70571,Create Fine,25.0,2001-12-17 00:00:00,
N36022,Insert Fine Notification,,2001-12-17 00:00:00,
S70562,Payment,,2001-12-17 00:00:00,False
S65750,Insert Fine Notification,,2001-12-17 00:00:00,
C14392,Create Fine,29.0,2001-12-17 00:00:00,
S70571,Payment,,2001-12-18 00:00:00,False
V7799,Insert Date Appeal to Prefecture,,2001-12-18 00:00:00,
N35198,Payment,,2001-12-18 00:00:00,False
N19933,Insert Fine Notification,,2001-12-18 00:00:00,
S68639,Insert Fine Notification,,2001-12-18 00:00:00,
S67620,Payment,,2001-12-18 00:00:00,False
C13942,Payment,,2001-12-18 00:00:00,
N36734,Create Fine,536.0,2001-12-18 00:00:00,
S65823,Insert Fine Notification,,2001-12-18 00:00:00,
V7731,Add penalty,,2001-12-19 00:00:00,
S64720,Add penalty,,2001-12-19 00:00:00,
S64454,Add penalty,,2001-12-19 00:00:00,
V7651,Add penalty,,2001-12-19 00:00:00,
V7516,Add penalty,,2001-12-19 00:00:00,
N36544,Insert Fine Notification,,2001-12-20 00:00:00,
N35925,Insert Fine Notification,,2001-12-20 00:00:00,
N38061,Insert Fine Notification,,2001-12-20 00:00:00,
N35388,Insert Fine Notification,,2001-12-20 00:00:00,
S67969,Insert Fine Notification,,2001-12-20 00:00:00,
N35387,Insert Fine Notification,,2001-12-20 00:00:00,
N35852,Insert Fine Notification,,2001-12-20 00:00:00,
N37363,Payment,,2001-12-20 00:00:00,False
S67490,Insert Fine Notification,,2001-12-20 00:00:00,
N39508,Create Fine,548.0,2001-12-20 00:00:00,
V8310,Insert Fine Notification,,2001-12-21 00:00:00,
S68046,Insert Fine Notification,,2001-12-21 00:00:00,
N36139,Insert Fine Notification,,2001-12-21 00:00:00,
N39193,Create Fine,538.0,2001-12-21 00:00:00,
V8557,Insert Fine Notification,,2001-12-21 00:00:00,
V8458,Insert Fine Notification,,2001-12-21 00:00:00,
V7962,Insert Fine Notification,,2001-12-21 00:00:00,
S69571,Insert Fine Notification,,2001-12-21 00:00:00,
V8558,Insert Fine Notification,,2001-12-21 00:00:00,
N37199,Insert Fine Notification,,2001-12-21 00:00:00,
N36916,Insert Fine Notification,,2001-12-21 00:00:00,
N36920,Insert Fine Notification,,2001-12-21 00:00:00,
N38196,Insert Fine Notification,,2001-12-21 00:00:00,
N37874,Insert Fine Notification,,2001-12-21 00:00:00,
N36953,Insert Fine Notification,,2001-12-21 00:00:00,
V8418,Insert Fine Notification,,2001-12-21 00:00:00,
N38682,Create Fine,541.0,2001-12-21 00:00:00,
N37548,Insert Fine Notification,,2001-12-21 00:00:00,
N36371,Insert Fine Notification,,2001-12-21 00:00:00,
N38681,Create Fine,541.0,2001-12-21 00:00:00,
S70678,Create Fine,11.0,2001-12-21 00:00:00,
N38060,Insert Fine Notification,,2001-12-21 00:00:00,
N37402,Insert Fine Notification,,2001-12-21 00:00:00,
S68887,Insert Fine Notification,,2001-12-21 00:00:00,
N37492,Insert Fine Notification,,2001-12-21 00:00:00,
N38109,Insert Fine Notification,,2001-12-21 00:00:00,
S70236,Insert Fine Notification,,2001-12-21 00:00:00,
N37851,Insert Fine Notification,,2001-12-21 00:00:00,
N37504,Insert Fine Notification,,2001-12-21 00:00:00,
S64482,Payment,,2001-12-21 00:00:00,
N38029,Insert Fine Notification,,2001-12-22 00:00:00,
S67218,Send Fine,,2001-12-22 00:00:00,
V7848,Add penalty,,2001-12-22 00:00:00,
N38332,Insert Fine Notification,,2001-12-22 00:00:00,
S65247,Insert Fine Notification,,2001-12-22 00:00:00,
S70642,Send Fine,,2001-12-22 00:00:00,
S62252,Send Fine,,2001-12-22 00:00:00,
N37303,Insert Fine Notification,,2001-12-22 00:00:00,
N38743,Send Fine,,2001-12-22 00:00:00,
N37369,Send Fine,,2001-12-22 00:00:00,False
S60798,Send Fine,,2001-12-22 00:00:00,
N39481,Send Fine,,2001-12-22 00:00:00,
N38551,Send Fine,,2001-12-22 00:00:00,
S67115,Send Fine,,2001-12-22 00:00:00,False
N39082,Send Fine,,2001-12-22 00:00:00,
N39486,Send Fine,,2001-12-22 00:00:00,
N39092,Send Fine,,2001-12-22 00:00:00,
C14144,Send Fine,,2001-12-22 00:00:00,
S60924,Send Fine,,2001-12-22 00:00:00,
N39171,Send Fine,,2001-12-22 00:00:00,
N39494,Send Fine,,2001-12-22 00:00:00,
N39165,Send Fine,,2001-12-22 00:00:00,
N34347,Send Fine,,2001-12-22 00:00:00,
C14244,Send Fine,,2001-12-22 00:00:00,False
S70632,Send Fine,,2001-12-22 00:00:00,False
N39551,Send Fine,,2001-12-22 00:00:00,
N38658,Send Fine,,2001-12-22 00:00:00,
N38651,Send Fine,,2001-12-22 00:00:00,
N37526,Insert Fine Notification,,2001-12-22 00:00:00,
N36729,Send Fine,,2001-12-22 00:00:00,False
N39010,Send Fine,,2001-12-22 00:00:00,
N38850,Send Fine,,2001-12-22 00:00:00,
V7532,Add penalty,,2001-12-22 00:00:00,
N37168,Insert Fine Notification,,2001-12-22 00:00:00,
N39040,Send Fine,,2001-12-22 00:00:00,
S70639,Send Fine,,2001-12-22 00:00:00,
S68117,Send Fine,,2001-12-22 00:00:00,
S70638,Send Fine,,2001-12-22 00:00:00,
S70640,Send Fine,,2001-12-22 00:00:00,
N38878,Send Fine,,2001-12-22 00:00:00,
N36713,Send Fine,,2001-12-22 00:00:00,
N36388,Insert Fine Notification,,2001-12-22 00:00:00,
S70654,Send Fine,,2001-12-22 00:00:00,False
S64899,Send Fine,,2001-12-22 00:00:00,
N37394,Send Fine,,2001-12-22 00:00:00,
S63269,Send Fine,,2001-12-22 00:00:00,
N37378,Send Fine,,2001-12-22 00:00:00,
N37397,Send Fine,,2001-12-22 00:00:00,
V8248,Insert Fine Notification,,2001-12-22 00:00:00,
N37389,Send Fine,,2001-12-22 00:00:00,
N37866,Insert Fine Notification,,2001-12-22 00:00:00,
N36706,Send Fine,,2001-12-22 00:00:00,
N39035,Send Fine,,2001-12-22 00:00:00,
S66891,Send Fine,,2001-12-22 00:00:00,
S68020,Insert Fine Notification,,2001-12-22 00:00:00,
N36024,Send Fine,,2001-12-22 00:00:00,
S70667,Send Fine,,2001-12-22 00:00:00,
S63263,Send Fine,,2001-12-22 00:00:00,
N38770,Insert Fine Notification,,2001-12-22 00:00:00,
N36743,Create Fine,536.0,2001-12-22 00:00:00,
N37357,Send Fine,,2001-12-22 00:00:00,
S64833,Insert Fine Notification,,2001-12-22 00:00:00,
C13138,Send Fine,,2001-12-22 00:00:00,
N34563,Send Fine,,2001-12-22 00:00:00,False
S70680,Create Fine,11.0,2001-12-22 00:00:00,
S70412,Insert Fine Notification,,2001-12-22 00:00:00,
V8347,Insert Fine Notification,,2001-12-22 00:00:00,
N37631,Insert Fine Notification,,2001-12-22 00:00:00,
S67891,Send Fine,,2001-12-22 00:00:00,
S64807,Add penalty,,2001-12-22 00:00:00,
S64851,Add penalty,,2001-12-22 00:00:00,
N38365,Insert Fine Notification,,2001-12-22 00:00:00,
S64614,Add penalty,,2001-12-22 00:00:00,
S70629,Send Fine,,2001-12-22 00:00:00,
S64713,Insert Fine Notification,,2001-12-22 00:00:00,
N38498,Send Fine,,2001-12-22 00:00:00,
S70670,Send Fine,,2001-12-22 00:00:00,
N36735,Send Fine,,2001-12-22 00:00:00,False
N36734,Send Fine,,2001-12-22 00:00:00,
N38846,Send Fine,,2001-12-22 00:00:00,
S64796,Add penalty,,2001-12-22 00:00:00,
N38565,Send Fine,,2001-12-22 00:00:00,
S68776,Insert Fine Notification,,2001-12-22 00:00:00,
N38724,Send Fine,,2001-12-22 00:00:00,False
N38567,Send Fine,,2001-12-22 00:00:00,
C14194,Insert Fine Notification,,2001-12-22 00:00:00,
S57446,Send Fine,,2001-12-22 00:00:00,
S68024,Insert Fine Notification,,2001-12-23 00:00:00,
V7610,Add penalty,,2001-12-23 00:00:00,
N35088,Insert Fine Notification,,2001-12-23 00:00:00,
N34760,Add penalty,,2001-12-23 00:00:00,
S70003,Insert Fine Notification,,2001-12-23 00:00:00,
V7658,Add penalty,,2001-12-23 00:00:00,
V8669,Send Fine,,2001-12-24 00:00:00,False
N39128,Create Fine,537.0,2001-12-24 00:00:00,
N39126,Create Fine,537.0,2001-12-24 00:00:00,
S43150,Create Fine,12.0,2001-12-24 00:00:00,
N37102,Insert Fine Notification,,2001-12-24 00:00:00,
V8410,Insert Fine Notification,,2001-12-24 00:00:00,
S68812,Send Fine,,2001-12-24 00:00:00,
V8714,Send Fine,,2001-12-24 00:00:00,False
S70363,Insert Fine Notification,,2001-12-24 00:00:00,
N37527,Insert Fine Notification,,2001-12-24 00:00:00,
N37535,Insert Fine Notification,,2001-12-24 00:00:00,
N37032,Insert Fine Notification,,2001-12-24 00:00:00,
N36924,Insert Fine Notification,,2001-12-24 00:00:00,
N38093,Insert Fine Notification,,2001-12-24 00:00:00,
N38069,Insert Fine Notification,,2001-12-24 00:00:00,
N37070,Insert Fine Notification,,2001-12-24 00:00:00,
S67364,Add penalty,,2001-12-24 00:00:00,
N36781,Insert Fine Notification,,2001-12-24 00:00:00,
C14053,Insert Fine Notification,,2001-12-24 00:00:00,
N36895,Insert Fine Notification,,2001-12-24 00:00:00,
V8283,Insert Fine Notification,,2001-12-24 00:00:00,
V8677,Send Fine,,2001-12-24 00:00:00,False
N38278,Insert Fine Notification,,2001-12-24 00:00:00,
N38134,Insert Fine Notification,,2001-12-24 00:00:00,
V7563,Payment,,2001-12-24 00:00:00,False
V8693,Send Fine,,2001-12-24 00:00:00,False
N35404,Insert Fine Notification,,2001-12-24 00:00:00,
V8701,Send Fine,,2001-12-24 00:00:00,
V8700,Send Fine,,2001-12-24 00:00:00,
V8675,Send Fine,,2001-12-24 00:00:00,
S68234,Insert Fine Notification,,2001-12-25 00:00:00,
N36429,Add penalty,,2001-12-26 00:00:00,
C13450,Add penalty,,2001-12-26 00:00:00,
N35078,Add penalty,,2001-12-26 00:00:00,
N36456,Add penalty,,2001-12-26 00:00:00,
C13695,Add penalty,,2001-12-26 00:00:00,
N34346,Add penalty,,2001-12-26 00:00:00,
N34947,Add penalty,,2001-12-26 00:00:00,
N37788,Insert Fine Notification,,2001-12-27 00:00:00,
N37729,Insert Fine Notification,,2001-12-27 00:00:00,
S69490,Insert Fine Notification,,2001-12-27 00:00:00,
N37418,Insert Fine Notification,,2001-12-27 00:00:00,
S69905,Payment,,2001-12-27 00:00:00,False
V8246,Insert Fine Notification,,2001-12-27 00:00:00,
N36977,Insert Fine Notification,,2001-12-27 00:00:00,
N36100,Payment,,2001-12-27 00:00:00,False
N36850,Insert Fine Notification,,2001-12-27 00:00:00,
N36963,Insert Fine Notification,,2001-12-27 00:00:00,
N38480,Insert Fine Notification,,2001-12-27 00:00:00,
S62289,Create Fine,704.0,2001-12-27 00:00:00,
N38431,Insert Fine Notification,,2001-12-27 00:00:00,
N38409,Insert Fine Notification,,2001-12-27 00:00:00,
V8655,Insert Fine Notification,,2001-12-27 00:00:00,
N36748,Create Fine,536.0,2001-12-27 00:00:00,
N38714,Insert Fine Notification,,2001-12-27 00:00:00,
N37893,Insert Fine Notification,,2001-12-27 00:00:00,
V8361,Insert Fine Notification,,2001-12-27 00:00:00,
N37840,Insert Fine Notification,,2001-12-27 00:00:00,
N37852,Insert Fine Notification,,2001-12-27 00:00:00,
N38776,Insert Fine Notification,,2001-12-27 00:00:00,
N37834,Insert Fine Notification,,2001-12-27 00:00:00,
N37872,Insert Fine Notification,,2001-12-27 00:00:00,
V8520,Insert Fine Notification,,2001-12-27 00:00:00,
N37331,Insert Fine Notification,,2001-12-27 00:00:00,
N38706,Insert Fine Notification,,2001-12-27 00:00:00,
N38762,Insert Fine Notification,,2001-12-27 00:00:00,
N38132,Insert Fine Notification,,2001-12-28 00:00:00,
V7929,Insert Fine Notification,,2001-12-28 00:00:00,
N34788,Add penalty,,2001-12-28 00:00:00,
N34832,Add penalty,,2001-12-28 00:00:00,
N38766,Insert Fine Notification,,2001-12-28 00:00:00,
N36127,Payment,,2001-12-28 00:00:00,False
S69485,Insert Fine Notification,,2001-12-28 00:00:00,
N37071,Insert Fine Notification,,2001-12-28 00:00:00,
N35443,Insert Fine Notification,,2001-12-28 00:00:00,
N36408,Add penalty,,2001-12-28 00:00:00,
N35511,Add penalty,,2001-12-28 00:00:00,
N36433,Add penalty,,2001-12-28 00:00:00,
N38209,Insert Fine Notification,,2001-12-28 00:00:00,
N38177,Insert Fine Notification,,2001-12-28 00:00:00,
C14119,Insert Fine Notification,,2001-12-28 00:00:00,
N34386,Insert Fine Notification,,2001-12-28 00:00:00,
V8364,Insert Fine Notification,,2001-12-28 00:00:00,
N19998,Insert Fine Notification,,2001-12-28 00:00:00,
N37036,Insert Fine Notification,,2001-12-28 00:00:00,
N37397,Insert Fine Notification,,2001-12-29 00:00:00,
N39551,Insert Fine Notification,,2001-12-29 00:00:00,
N36856,Insert Fine Notification,,2001-12-29 00:00:00,
N39165,Insert Fine Notification,,2001-12-29 00:00:00,
S70629,Insert Fine Notification,,2001-12-29 00:00:00,
V8087,Insert Fine Notification,,2001-12-29 00:00:00,
N39092,Insert Fine Notification,,2001-12-29 00:00:00,
V8364,Insert Date Appeal to Prefecture,,2001-12-29 00:00:00,
N37378,Payment,,2001-12-29 00:00:00,False
N34948,Add penalty,,2001-12-29 00:00:00,
N34866,Add penalty,,2001-12-29 00:00:00,
N38815,Insert Fine Notification,,2001-12-29 00:00:00,
N34867,Add penalty,,2001-12-29 00:00:00,
N34963,Add penalty,,2001-12-29 00:00:00,
V8092,Payment,,2001-12-29 00:00:00,False
N35047,Add penalty,,2001-12-29 00:00:00,
V8058,Insert Fine Notification,,2001-12-29 00:00:00,
S70362,Insert Fine Notification,,2001-12-29 00:00:00,
N34846,Add penalty,,2001-12-29 00:00:00,
N36978,Insert Fine Notification,,2001-12-29 00:00:00,
N39576,Create Fine,550.0,2001-12-29 00:00:00,
N36713,Insert Fine Notification,,2001-12-29 00:00:00,
S68260,Insert Fine Notification,,2001-12-29 00:00:00,
N34906,Add penalty,,2001-12-29 00:00:00,
N35068,Add penalty,,2001-12-29 00:00:00,
N37357,Insert Fine Notification,,2001-12-29 00:00:00,
N36140,Insert Fine Notification,,2001-12-29 00:00:00,
S63263,Insert Fine Notification,,2001-12-29 00:00:00,
S65983,Insert Fine Notification,,2001-12-29 00:00:00,
S70102,Insert Fine Notification,,2001-12-29 00:00:00,
N38498,Insert Fine Notification,,2001-12-29 00:00:00,
N39035,Insert Fine Notification,,2001-12-29 00:00:00,
N34395,Add penalty,,2001-12-30 00:00:00,
N39128,Payment,,2001-12-30 00:00:00,False
V8364,Send Appeal to Prefecture,,2001-12-30 00:00:00,
S68216,Insert Fine Notification,,2001-12-30 00:00:00,
S65294,Insert Fine Notification,,2001-12-30 00:00:00,
N34971,Add penalty,,2001-12-30 00:00:00,
N36748,Send Fine,,2001-12-31 00:00:00,
S65861,Payment,,2001-12-31 00:00:00,False
S70415,Send Fine,,2001-12-31 00:00:00,
S62289,Send Fine,,2001-12-31 00:00:00,
N36743,Send Fine,,2001-12-31 00:00:00,
C13792,Send Fine,,2001-12-31 00:00:00,
S70680,Send Fine,,2001-12-31 00:00:00,
N39508,Send Fine,,2001-12-31 00:00:00,
S67891,Insert Fine Notification,,2001-12-31 00:00:00,
N38682,Send Fine,,2001-12-31 00:00:00,
N38681,Send Fine,,2001-12-31 00:00:00,False
S70678,Send Fine,,2001-12-31 00:00:00,
N39193,Send Fine,,2001-12-31 00:00:00,
N39126,Send Fine,,2001-12-31 00:00:00,
S43150,Payment,,2001-12-31 00:00:00,False
V8645,Insert Fine Notification,,2001-12-31 00:00:00,
N36894,Insert Fine Notification,,2001-12-31 00:00:00,
S68117,Insert Fine Notification,,2001-12-31 00:00:00,
S62358,Send Fine,,2001-12-31 00:00:00,
S68120,Send Fine,,2001-12-31 00:00:00,
C14345,Send Fine,,2001-12-31 00:00:00,False
N37213,Insert Fine Notification,,2001-12-31 00:00:00,
S70423,Send Fine,,2001-12-31 00:00:00,
N37735,Insert Fine Notification,,2002-01-01 00:00:00,
N37818,Insert Fine Notification,,2002-01-01 00:00:00,
N34851,Add penalty,,2002-01-01 00:00:00,
V8565,Insert Fine Notification,,2002-01-02 00:00:00,
S57446,Insert Fine Notification,,2002-01-02 00:00:00,
N37550,Insert Fine Notification,,2002-01-02 00:00:00,
N37236,Insert Fine Notification,,2002-01-02 00:00:00,
N37495,Insert Fine Notification,,2002-01-02 00:00:00,
N36129,Insert Fine Notification,,2002-01-02 00:00:00,
N38651,Insert Fine Notification,,2002-01-02 00:00:00,
N37549,Insert Fine Notification,,2002-01-02 00:00:00,
N37820,Insert Fine Notification,,2002-01-02 00:00:00,
V8506,Insert Fine Notification,,2002-01-02 00:00:00,
N35474,Insert Fine Notification,,2002-01-02 00:00:00,
N38271,Insert Fine Notification,,2002-01-02 00:00:00,
N37208,Insert Fine Notification,,2002-01-02 00:00:00,
V8559,Insert Fine Notification,,2002-01-02 00:00:00,
N37594,Insert Fine Notification,,2002-01-02 00:00:00,
S68203,Payment,,2002-01-02 00:00:00,False
N37228,Insert Fine Notification,,2002-01-02 00:00:00,
C14144,Insert Fine Notification,,2002-01-02 00:00:00,
N36024,Insert Fine Notification,,2002-01-02 00:00:00,
N38910,Create Fine,536.0,2002-01-02 00:00:00,
N36905,Insert Fine Notification,,2002-01-02 00:00:00,
V8282,Insert Fine Notification,,2002-01-02 00:00:00,
N38119,Insert Fine Notification,,2002-01-02 00:00:00,
V8484,Insert Fine Notification,,2002-01-02 00:00:00,
N38595,Create Fine,540.0,2002-01-02 00:00:00,
V8475,Insert Fine Notification,,2002-01-02 00:00:00,
N38257,Insert Fine Notification,,2002-01-02 00:00:00,
N35491,Insert Fine Notification,,2002-01-02 00:00:00,
N36973,Insert Fine Notification,,2002-01-02 00:00:00,
N36662,Insert Fine Notification,,2002-01-02 00:00:00,
N39126,Payment,,2002-01-02 00:00:00,False
S63425,Add penalty,,2002-01-02 00:00:00,
V8549,Insert Fine Notification,,2002-01-02 00:00:00,
N36643,Insert Fine Notification,,2002-01-03 00:00:00,
N38595,Payment,,2002-01-03 00:00:00,False
V8506,Insert Date Appeal to Prefecture,,2002-01-03 00:00:00,
S70642,Insert Fine Notification,,2002-01-03 00:00:00,
